invoice_number,talley_invoice_date
120457,11-Oct-2019
120459,12-Oct-2019
120462,14-Oct-2019
120461,14-Oct-2019
120460,14-Oct-2019
120463,15-Oct-2019
120465,16-Oct-2019
120464,16-Oct-2019
120467,19-Oct-2019
120466,19-Oct-2019
120468,20-Oct-2019
120474,25-Oct-2019
120472,25-Oct-2019
120471,25-Oct-2019
120470,25-Oct-2019
120462,25-Oct-2019
120460,25-Oct-2019
120461,26-Oct-2019
120457,26-Oct-2019
120480,28-Oct-2019
120467,28-Oct-2019
120466,28-Oct-2019
120492,30-Oct-2019
120491,30-Oct-2019
120490,30-Oct-2019
120483,30-Oct-2019
120482,31-Oct-2019
120481,31-Oct-2019
120498,6-Nov-2019
120497,6-Nov-2019
120495,6-Nov-2019
120494,6-Nov-2019
120501,7-Nov-2019
120500,7-Nov-2019
120499,7-Nov-2019
120502,8-Nov-2019
120506,9-Nov-2019
120505,9-Nov-2019
120509,12-Nov-2019
120508,12-Nov-2019
120507,12-Nov-2019
120510,14-Nov-2019
120512,15-Nov-2019
120511,15-Nov-2019
120513,16-Nov-2019
120515,18-Nov-2019
120514,18-Nov-2019
120518,19-Nov-2019
120519,20-Nov-2019
120520,21-Nov-2019
120528,1-Dec-2019
120522,1-Dec-2019
120521,1-Dec-2019
120533,2-Dec-2019
120531,2-Dec-2019
120530,2-Dec-2019
120538,3-Dec-2019
120537,3-Dec-2019
120536,3-Dec-2019
120535,3-Dec-2019
120543,4-Dec-2019
120541,4-Dec-2019
120540,4-Dec-2019
120539,4-Dec-2019
120545,5-Dec-2019
120544,5-Dec-2019
120548,7-Dec-2019
120547,7-Dec-2019
120550,10-Dec-2019
120549,10-Dec-2019
120552,12-Dec-2019
120553,13-Dec-2019
120554,14-Dec-2019
120555,15-Dec-2019
120556,16-Dec-2019
120557,18-Dec-2019
120558,19-Dec-2019
120562,21-Dec-2019
120563,22-Dec-2019
120564,26-Dec-2019
120565,27-Dec-2019
120566,2-Jan-2020
120570,4-Jan-2020
120572,8-Jan-2020
120571,8-Jan-2020
120573,13-Jan-2020
120576,14-Jan-2020
120575,14-Jan-2020
120577,15-Jan-2020
120579,17-Jan-2020
120578,17-Jan-2020
120585,19-Jan-2020
120584,19-Jan-2020
120583,19-Jan-2020
120582,19-Jan-2020
120581,19-Jan-2020
120580,19-Jan-2020
120586,21-Jan-2020
120587,24-Jan-2020
120588,28-Jan-2020
120589,30-Jan-2020
120594,4-Feb-2020
120593,4-Feb-2020
120591,4-Feb-2020
120595,6-Feb-2020
120598,10-Feb-2020
120597,10-Feb-2020
120600,11-Feb-2020
120599,11-Feb-2020
120601,13-Feb-2020
120604,14-Feb-2020
120603,14-Feb-2020
120602,14-Feb-2020
120605,15-Feb-2020
120608,16-Feb-2020
120607,16-Feb-2020
120606,16-Feb-2020
120609,17-Feb-2020
120614,19-Feb-2020
120613,19-Feb-2020
120612,19-Feb-2020
120611,19-Feb-2020
120610,19-Feb-2020
120620,20-Feb-2020
120619,20-Feb-2020
120621,24-Feb-2020
120622,26-Feb-2020
120624,1-Mar-2020
120626,3-Mar-2020
120625,3-Mar-2020
120628,5-Mar-2020
120627,5-Mar-2020
120629,6-Mar-2020
120630,8-Mar-2020
120634,14-Mar-2020
120633,14-Mar-2020
120635,16-Mar-2020
120637,19-Mar-2020
120638,20-Mar-2020
120640,21-Mar-2020
120642,23-Mar-2020
120645,24-Mar-2020
120643,24-Mar-2020
120648,31-Mar-2020
120646,31-Mar-2020
120623,31-Mar-2020
120590,31-Mar-2020
120649,3-Apr-2020
120652,22-May-2020
120651,22-May-2020
120653,25-May-2020
120654,29-May-2020
120655,1-Jun-2020
120657,3-Jun-2020
120656,3-Jun-2020
120658,9-Jun-2020
120663,12-Jun-2020
120665,13-Jun-2020
120664,13-Jun-2020
120667,14-Jun-2020
120666,14-Jun-2020
120670,16-Jun-2020
120669,16-Jun-2020
120668,16-Jun-2020
120672,17-Jun-2020
120673,18-Jun-2020
120676,21-Jun-2020
120675,21-Jun-2020
120677,22-Jun-2020
120678,23-Jun-2020
120681,28-Jun-2020
120685,1-Jul-2020
120684,1-Jul-2020
120683,1-Jul-2020
120687,2-Jul-2020
120688,4-Jul-2020
120690,5-Jul-2020
120689,5-Jul-2020
120691,6-Jul-2020
120694,8-Jul-2020
120693,8-Jul-2020
120692,8-Jul-2020
120695,9-Jul-2020
120698,13-Jul-2020
120697,13-Jul-2020
120696,13-Jul-2020
120700,14-Jul-2020
120699,14-Jul-2020
120702,15-Jul-2020
120701,15-Jul-2020
120703,17-Jul-2020
120704,18-Jul-2020
120705,21-Jul-2020
120707,24-Jul-2020
120709,27-Jul-2020
120708,27-Jul-2020
120710,29-Jul-2020
120711,31-Jul-2020
120713,2-Aug-2020
120712,2-Aug-2020
120714,3-Aug-2020
120716,4-Aug-2020
120715,4-Aug-2020
120717,5-Aug-2020
120719,6-Aug-2020
120718,6-Aug-2020
120721,8-Aug-2020
120723,9-Aug-2020
120722,9-Aug-2020
120724,14-Aug-2020
120725,15-Aug-2020
120727,17-Aug-2020
120726,17-Aug-2020
120731,22-Aug-2020
120730,22-Aug-2020
120732,24-Aug-2020
120734,25-Aug-2020
120737,28-Aug-2020
120736,28-Aug-2020
120735,28-Aug-2020
120739,30-Aug-2020
120738,30-Aug-2020
120740,4-Sep-2020
120741,6-Sep-2020
120746,7-Sep-2020
120745,7-Sep-2020
120744,7-Sep-2020
120754,9-Sep-2020
120753,9-Sep-2020
120752,9-Sep-2020
120751,9-Sep-2020
120750,9-Sep-2020
120749,9-Sep-2020
120748,9-Sep-2020
120756,10-Sep-2020
120755,10-Sep-2020
120758,12-Sep-2020
120759,16-Sep-2020
120763,20-Sep-2020
120762,20-Sep-2020
120764,21-Sep-2020
120770,1-Oct-2020
120767,1-Oct-2020
120766,1-Oct-2020
120765,1-Oct-2020
120781,12-Oct-2020
120782,14-Oct-2020
120785,15-Oct-2020
120784,15-Oct-2020
120783,15-Oct-2020
120786,16-Oct-2020
120790,17-Oct-2020
120789,17-Oct-2020
120788,17-Oct-2020
120787,17-Oct-2020
120792,18-Oct-2020
120791,18-Oct-2020
120794,19-Oct-2020
120793,19-Oct-2020
120796,20-Oct-2020
120795,20-Oct-2020
120798,21-Oct-2020
120797,21-Oct-2020
120804,22-Oct-2020
120803,22-Oct-2020
120802,22-Oct-2020
120801,22-Oct-2020
120800,22-Oct-2020
120799,22-Oct-2020
120805,23-Oct-2020
120806,24-Oct-2020
120809,25-Oct-2020
120808,25-Oct-2020
120807,25-Oct-2020
120810,26-Oct-2020
120812,27-Oct-2020
120811,27-Oct-2020
120813,28-Oct-2020
120815,31-Oct-2020
120820,1-Nov-2020
120819,1-Nov-2020
120817,1-Nov-2020
120821,2-Nov-2020
120822,3-Nov-2020
120823,4-Nov-2020
120827,5-Nov-2020
120826,5-Nov-2020
120825,5-Nov-2020
120829,8-Nov-2020
120832,9-Nov-2020
120831,9-Nov-2020
120830,9-Nov-2020
120834,11-Nov-2020
120833,11-Nov-2020
120835,12-Nov-2020
120838,13-Nov-2020
120837,13-Nov-2020
120836,13-Nov-2020
120839,19-Nov-2020
120841,22-Nov-2020
120840,22-Nov-2020
120844,23-Nov-2020
120843,23-Nov-2020
120842,23-Nov-2020
120852,25-Nov-2020
120851,25-Nov-2020
120850,25-Nov-2020
120849,25-Nov-2020
120848,25-Nov-2020
120847,25-Nov-2020
120846,25-Nov-2020
120845,25-Nov-2020
120853,26-Nov-2020
120866,27-Nov-2020
120864,27-Nov-2020
120862,27-Nov-2020
120861,27-Nov-2020
120860,27-Nov-2020
120859,27-Nov-2020
120858,27-Nov-2020
120857,27-Nov-2020
120856,27-Nov-2020
120855,27-Nov-2020
120854,27-Nov-2020
120869,28-Nov-2020
120868,28-Nov-2020
120867,28-Nov-2020
120873,29-Nov-2020
120872,29-Nov-2020
120871,29-Nov-2020
120870,29-Nov-2020
120874,30-Nov-2020
120875,1-Dec-2020
120880,2-Dec-2020
120879,2-Dec-2020
120878,2-Dec-2020
120877,2-Dec-2020
120876,2-Dec-2020
120881,3-Dec-2020
120886,4-Dec-2020
120885,4-Dec-2020
120884,4-Dec-2020
120883,4-Dec-2020
120882,4-Dec-2020
120889,5-Dec-2020
120888,5-Dec-2020
120887,5-Dec-2020
120891,6-Dec-2020
120890,6-Dec-2020
120893,7-Dec-2020
120892,7-Dec-2020
120898,8-Dec-2020
120896,8-Dec-2020
120895,8-Dec-2020
