invoice_number,talley_invoice_date
120894,8-Dec-2020
120899,11-Dec-2020
120907,12-Dec-2020
120906,12-Dec-2020
120905,12-Dec-2020
120904,12-Dec-2020
120903,12-Dec-2020
120902,12-Dec-2020
120901,12-Dec-2020
120900,12-Dec-2020
120910,18-Dec-2020
120909,18-Dec-2020
120917,19-Dec-2020
120916,19-Dec-2020
120914,19-Dec-2020
120913,19-Dec-2020
120912,19-Dec-2020
120911,19-Dec-2020
120925,21-Dec-2020
120924,21-Dec-2020
120923,21-Dec-2020
120922,21-Dec-2020
120921,21-Dec-2020
120920,21-Dec-2020
120919,21-Dec-2020
120918,21-Dec-2020
120928,23-Dec-2020
120927,23-Dec-2020
120926,23-Dec-2020
120931,24-Dec-2020
120930,24-Dec-2020
120929,24-Dec-2020
120933,25-Dec-2020
120932,25-Dec-2020
120934,26-Dec-2020
120935,27-Dec-2020
120937,2-Jan-2021
120936,2-Jan-2021
120938,3-Jan-2021
120940,5-Jan-2021
120939,5-Jan-2021
120944,8-Jan-2021
120943,8-Jan-2021
120942,8-Jan-2021
120941,8-Jan-2021
120947,12-Jan-2021
120946,12-Jan-2021
120945,12-Jan-2021
120948,13-Jan-2021
120950,14-Jan-2021
120949,14-Jan-2021
120952,15-Jan-2021
120954,16-Jan-2021
120953,16-Jan-2021
120958,19-Jan-2021
120957,19-Jan-2021
120956,19-Jan-2021
120955,19-Jan-2021
120964,20-Jan-2021
120963,20-Jan-2021
120962,20-Jan-2021
120961,20-Jan-2021
120960,20-Jan-2021
120959,20-Jan-2021
120965,21-Jan-2021
120966,22-Jan-2021
120971,27-Jan-2021
120970,27-Jan-2021
120969,27-Jan-2021
120968,27-Jan-2021
120967,27-Jan-2021
120972,28-Jan-2021
120974,29-Jan-2021
120973,29-Jan-2021
120977,31-Jan-2021
120976,31-Jan-2021
120975,31-Jan-2021
120981,1-Feb-2021
120980,1-Feb-2021
120979,1-Feb-2021
120978,1-Feb-2021
120982,2-Feb-2021
120989,3-Feb-2021
120988,3-Feb-2021
120987,3-Feb-2021
120986,3-Feb-2021
120985,3-Feb-2021
120984,3-Feb-2021
120983,3-Feb-2021
120990,4-Feb-2021
120994,6-Feb-2021
120993,6-Feb-2021
120992,6-Feb-2021
121023,7-Feb-2021
120995,7-Feb-2021
120996,8-Feb-2021
121004,9-Feb-2021
121003,9-Feb-2021
121002,9-Feb-2021
121001,9-Feb-2021
121000,9-Feb-2021
120999,9-Feb-2021
120998,9-Feb-2021
120997,9-Feb-2021
121007,10-Feb-2021
121006,10-Feb-2021
121008,11-Feb-2021
121010,12-Feb-2021
121009,12-Feb-2021
121014,13-Feb-2021
121013,13-Feb-2021
121012,13-Feb-2021
121011,13-Feb-2021
121016,14-Feb-2021
121015,14-Feb-2021
121019,15-Feb-2021
121018,15-Feb-2021
121017,15-Feb-2021
121020,16-Feb-2021
121024,17-Feb-2021
121022,17-Feb-2021
121021,17-Feb-2021
121030,18-Feb-2021
121029,18-Feb-2021
121028,18-Feb-2021
121027,18-Feb-2021
121026,18-Feb-2021
121025,18-Feb-2021
121031,20-Feb-2021
121038,22-Feb-2021
121036,22-Feb-2021
121035,22-Feb-2021
121034,22-Feb-2021
121033,22-Feb-2021
121043,23-Feb-2021
121042,23-Feb-2021
121041,23-Feb-2021
121040,23-Feb-2021
121039,23-Feb-2021
121045,25-Feb-2021
121044,25-Feb-2021
121048,27-Feb-2021
121047,27-Feb-2021
121046,27-Feb-2021
121049,1-Mar-2021
121060,3-Mar-2021
121059,3-Mar-2021
121058,3-Mar-2021
121057,3-Mar-2021
121056,3-Mar-2021
121055,3-Mar-2021
121054,3-Mar-2021
121053,3-Mar-2021
121052,3-Mar-2021
121051,3-Mar-2021
121050,3-Mar-2021
121063,5-Mar-2021
121062,5-Mar-2021
121061,5-Mar-2021
121065,8-Mar-2021
121064,8-Mar-2021
121067,9-Mar-2021
121066,9-Mar-2021
121069,10-Mar-2021
121068,10-Mar-2021
121070,12-Mar-2021
121073,13-Mar-2021
121072,13-Mar-2021
121071,13-Mar-2021
121074,15-Mar-2021
121076,17-Mar-2021
121075,17-Mar-2021
121079,18-Mar-2021
121078,18-Mar-2021
121077,18-Mar-2021
121080,19-Mar-2021
121084,23-Mar-2021
121083,23-Mar-2021
121082,23-Mar-2021
121081,23-Mar-2021
121085,24-Mar-2021
121090,25-Mar-2021
121089,25-Mar-2021
121088,25-Mar-2021
121087,25-Mar-2021
121086,25-Mar-2021
121091,26-Mar-2021
121095,27-Mar-2021
121094,27-Mar-2021
121093,27-Mar-2021
121092,27-Mar-2021
121097,30-Mar-2021
121096,30-Mar-2021
121101,31-Mar-2021
121100,31-Mar-2021
121099,31-Mar-2021
121098,31-Mar-2021
121102,1-Apr-2021
121107,5-Apr-2021
121106,5-Apr-2021
121105,5-Apr-2021
121104,5-Apr-2021
121109,6-Apr-2021
121108,6-Apr-2021
121110,7-Apr-2021
121111,8-Apr-2021
121112,9-Apr-2021
121114,11-Apr-2021
121113,11-Apr-2021
121117,12-Apr-2021
121116,12-Apr-2021
121115,12-Apr-2021
121118,14-Apr-2021
121119,16-Apr-2021
121122,19-Apr-2021
121121,19-Apr-2021
121120,19-Apr-2021
121127,20-Apr-2021
121126,20-Apr-2021
121125,20-Apr-2021
121124,20-Apr-2021
121123,20-Apr-2021
121129,21-Apr-2021
121128,21-Apr-2021
121133,22-Apr-2021
121131,22-Apr-2021
121130,22-Apr-2021
121134,26-Apr-2021
121138,27-Apr-2021
121137,27-Apr-2021
121136,27-Apr-2021
121142,30-Apr-2021
121141,30-Apr-2021
121140,30-Apr-2021
121139,30-Apr-2021
121146,1-May-2021
121145,1-May-2021
121144,1-May-2021
121143,1-May-2021
121147,3-May-2021
121148,4-May-2021
121150,5-May-2021
121149,5-May-2021
121153,7-May-2021
121152,7-May-2021
121156,10-May-2021
121155,10-May-2021
121154,10-May-2021
121158,11-May-2021
121157,11-May-2021
121160,13-May-2021
121159,13-May-2021
121162,14-May-2021
121161,14-May-2021
121167,15-May-2021
121166,15-May-2021
121165,15-May-2021
121164,15-May-2021
121163,15-May-2021
121170,17-May-2021
121169,17-May-2021
121168,17-May-2021
121172,18-May-2021
121171,18-May-2021
121173,19-May-2021
121178,20-May-2021
121177,20-May-2021
121176,20-May-2021
121175,20-May-2021
121179,21-May-2021
121203,22-May-2021
121202,22-May-2021
121201,22-May-2021
121200,22-May-2021
121199,22-May-2021
121198,22-May-2021
121197,22-May-2021
121196,22-May-2021
121195,22-May-2021
121194,22-May-2021
121193,22-May-2021
121192,22-May-2021
121191,22-May-2021
121190,22-May-2021
121189,22-May-2021
121188,22-May-2021
121187,22-May-2021
121186,22-May-2021
121185,22-May-2021
121184,22-May-2021
121183,22-May-2021
121182,22-May-2021
121181,22-May-2021
121180,22-May-2021
121204,24-May-2021
121206,25-May-2021
121208,27-May-2021
121207,27-May-2021
121212,29-May-2021
121211,29-May-2021
121210,29-May-2021
121209,29-May-2021
121214,31-May-2021
121213,31-May-2021
121216,1-Jun-2021
121215,1-Jun-2021
121217,2-Jun-2021
121219,3-Jun-2021
121218,3-Jun-2021
121220,7-Jun-2021
121221,8-Jun-2021
121222,9-Jun-2021
121230,10-Jun-2021
121229,10-Jun-2021
121228,10-Jun-2021
121227,10-Jun-2021
121226,10-Jun-2021
121225,10-Jun-2021
121224,10-Jun-2021
121223,10-Jun-2021
121231,11-Jun-2021
121236,15-Jun-2021
121235,15-Jun-2021
121234,15-Jun-2021
121233,15-Jun-2021
121232,15-Jun-2021
121237,16-Jun-2021
121239,17-Jun-2021
121238,17-Jun-2021
121240,19-Jun-2021
121241,20-Jun-2021
121245,21-Jun-2021
121244,21-Jun-2021
121243,21-Jun-2021
121248,22-Jun-2021
121247,22-Jun-2021
121246,22-Jun-2021
121251,23-Jun-2021
121250,23-Jun-2021
121249,23-Jun-2021
121259,25-Jun-2021
121258,25-Jun-2021
121257,25-Jun-2021
121256,25-Jun-2021
121255,25-Jun-2021
121254,25-Jun-2021
121253,25-Jun-2021
121252,25-Jun-2021
121261,27-Jun-2021
121260,27-Jun-2021
121264,28-Jun-2021
121263,28-Jun-2021
121262,28-Jun-2021
121267,29-Jun-2021
121266,29-Jun-2021
121265,29-Jun-2021
121280,30-Jun-2021
121279,30-Jun-2021
121278,30-Jun-2021
121277,30-Jun-2021
121276,30-Jun-2021
121275,30-Jun-2021
121273,30-Jun-2021
121272,30-Jun-2021
121271,30-Jun-2021
121270,30-Jun-2021
121269,30-Jun-2021
121281,1-Jul-2021
121282,5-Jul-2021
121284,7-Jul-2021
121283,7-Jul-2021
121287,8-Jul-2021
121286,8-Jul-2021
121285,8-Jul-2021
121291,10-Jul-2021
121290,10-Jul-2021
121289,10-Jul-2021
121288,10-Jul-2021
121297,12-Jul-2021
121296,12-Jul-2021
121295,12-Jul-2021
121294,12-Jul-2021
121293,12-Jul-2021
121292,12-Jul-2021
121300,13-Jul-2021
121299,13-Jul-2021
121298,13-Jul-2021
121304,15-Jul-2021
121303,15-Jul-2021
121302,15-Jul-2021
121301,15-Jul-2021
121308,16-Jul-2021
121307,16-Jul-2021
121306,16-Jul-2021
121305,16-Jul-2021
121309,18-Jul-2021
121312,19-Jul-2021
121311,19-Jul-2021
121313,20-Jul-2021
121316,21-Jul-2021
121315,21-Jul-2021
121319,22-Jul-2021
121318,22-Jul-2021
121317,22-Jul-2021
121324,23-Jul-2021
121323,23-Jul-2021
121322,23-Jul-2021
121321,23-Jul-2021
121320,23-Jul-2021
121325,25-Jul-2021
121326,26-Jul-2021
121331,27-Jul-2021
121330,27-Jul-2021
121329,27-Jul-2021
121328,27-Jul-2021
121327,27-Jul-2021
121333,28-Jul-2021
121332,28-Jul-2021
121336,29-Jul-2021
121335,29-Jul-2021
121334,29-Jul-2021
121339,30-Jul-2021
121338,30-Jul-2021
121337,30-Jul-2021
121345,31-Jul-2021
121344,31-Jul-2021
121343,31-Jul-2021
121342,31-Jul-2021
121341,31-Jul-2021
121340,31-Jul-2021
121348,2-Aug-2021
121347,2-Aug-2021
121346,2-Aug-2021
121349,3-Aug-2021
121352,4-Aug-2021
121351,4-Aug-2021
121350,4-Aug-2021
121354,5-Aug-2021
121353,5-Aug-2021
121355,7-Aug-2021
121356,8-Aug-2021
121358,9-Aug-2021
121357,9-Aug-2021
121360,11-Aug-2021
121359,11-Aug-2021
121362,12-Aug-2021
121361,12-Aug-2021
121364,14-Aug-2021
121363,14-Aug-2021
121366,16-Aug-2021
121365,16-Aug-2021
121370,18-Aug-2021
121369,18-Aug-2021
121368,18-Aug-2021
121367,18-Aug-2021
121374,19-Aug-2021
121373,19-Aug-2021
121372,19-Aug-2021
121371,19-Aug-2021
121376,20-Aug-2021
121375,20-Aug-2021
121381,21-Aug-2021
121380,21-Aug-2021
121379,21-Aug-2021
121378,21-Aug-2021
121377,21-Aug-2021
121382,22-Aug-2021
121385,24-Aug-2021
121384,24-Aug-2021
121383,24-Aug-2021
121390,25-Aug-2021
121389,25-Aug-2021
121388,25-Aug-2021
121387,25-Aug-2021
121386,25-Aug-2021
121391,26-Aug-2021
121399,27-Aug-2021
121398,27-Aug-2021
121397,27-Aug-2021
121396,27-Aug-2021
121394,27-Aug-2021
121393,27-Aug-2021
121392,27-Aug-2021
121410,31-Aug-2021
121409,31-Aug-2021
121408,31-Aug-2021
121407,31-Aug-2021
121406,31-Aug-2021
121405,31-Aug-2021
121404,31-Aug-2021
121403,31-Aug-2021
121402,31-Aug-2021
121401,31-Aug-2021
121400,31-Aug-2021
121411,3-Sep-2021
121412,4-Sep-2021
121413,5-Sep-2021
121421,6-Sep-2021
121420,6-Sep-2021
121419,6-Sep-2021
121418,6-Sep-2021
121417,6-Sep-2021
121416,6-Sep-2021
121415,6-Sep-2021
121414,6-Sep-2021
121427,7-Sep-2021
121426,7-Sep-2021
121425,7-Sep-2021
121424,7-Sep-2021
121423,7-Sep-2021
121422,7-Sep-2021
121428,8-Sep-2021
121429,9-Sep-2021
121430,10-Sep-2021
121435,11-Sep-2021
121434,11-Sep-2021
121433,11-Sep-2021
121432,11-Sep-2021
121431,11-Sep-2021
121437,12-Sep-2021
121436,12-Sep-2021
121439,15-Sep-2021
121442,17-Sep-2021
121441,17-Sep-2021
121440,17-Sep-2021
121444,18-Sep-2021
121443,18-Sep-2021
121447,19-Sep-2021
121446,19-Sep-2021
121445,19-Sep-2021
121451,20-Sep-2021
121450,20-Sep-2021
121449,20-Sep-2021
121448,20-Sep-2021
121455,21-Sep-2021
121454,21-Sep-2021
121453,21-Sep-2021
121452,21-Sep-2021
121456,22-Sep-2021
121458,24-Sep-2021
121457,24-Sep-2021
121459,25-Sep-2021
121460,27-Sep-2021
121465,28-Sep-2021
121464,28-Sep-2021
121463,28-Sep-2021
121462,28-Sep-2021
121461,28-Sep-2021
121467,29-Sep-2021
121466,29-Sep-2021
121469,30-Sep-2021
121438,30-Sep-2021
121473,1-Oct-2021
121472,1-Oct-2021
121471,1-Oct-2021
121470,1-Oct-2021
121475,3-Oct-2021
121474,3-Oct-2021
121477,4-Oct-2021
121476,4-Oct-2021
121479,5-Oct-2021
121478,5-Oct-2021
121480,6-Oct-2021
121483,7-Oct-2021
121482,7-Oct-2021
121481,7-Oct-2021
121486,8-Oct-2021
121485,8-Oct-2021
121484,8-Oct-2021
121492,9-Oct-2021
121491,9-Oct-2021
121490,9-Oct-2021
121489,9-Oct-2021
121488,9-Oct-2021
121487,9-Oct-2021
121495,10-Oct-2021
121494,10-Oct-2021
121498,11-Oct-2021
121497,11-Oct-2021
121496,11-Oct-2021
121501,12-Oct-2021
121500,12-Oct-2021
121499,12-Oct-2021
121506,13-Oct-2021
121505,13-Oct-2021
121504,13-Oct-2021
121503,13-Oct-2021
121502,13-Oct-2021
121512,14-Oct-2021
121511,14-Oct-2021
121509,14-Oct-2021
121508,14-Oct-2021
121507,14-Oct-2021
121522,15-Oct-2021
121521,15-Oct-2021
121520,15-Oct-2021
121519,15-Oct-2021
121518,15-Oct-2021
121516,15-Oct-2021
121515,15-Oct-2021
121514,15-Oct-2021
121513,15-Oct-2021
121525,18-Oct-2021
121524,18-Oct-2021
121523,18-Oct-2021
121529,19-Oct-2021
121528,19-Oct-2021
121527,19-Oct-2021
121533,20-Oct-2021
121532,20-Oct-2021
121531,20-Oct-2021
121537,21-Oct-2021
121536,21-Oct-2021
121535,21-Oct-2021
121534,21-Oct-2021
121543,22-Oct-2021
121542,22-Oct-2021
121541,22-Oct-2021
121540,22-Oct-2021
121539,22-Oct-2021
121538,22-Oct-2021
121548,23-Oct-2021
121547,23-Oct-2021
121546,23-Oct-2021
121545,23-Oct-2021
121544,23-Oct-2021
121554,24-Oct-2021
121553,24-Oct-2021
121552,24-Oct-2021
121551,24-Oct-2021
121550,24-Oct-2021
121549,24-Oct-2021
121555,27-Oct-2021
121568,28-Oct-2021
121567,28-Oct-2021
121566,28-Oct-2021
121565,28-Oct-2021
121564,28-Oct-2021
121563,28-Oct-2021
121562,28-Oct-2021
121561,28-Oct-2021
121560,28-Oct-2021
121559,28-Oct-2021
121558,28-Oct-2021
121557,28-Oct-2021
121556,28-Oct-2021
121574,29-Oct-2021
121573,29-Oct-2021
121572,29-Oct-2021
121571,29-Oct-2021
121570,29-Oct-2021
121569,29-Oct-2021
121584,1-Nov-2021
121583,1-Nov-2021
121582,1-Nov-2021
121581,1-Nov-2021
121580,1-Nov-2021
121579,1-Nov-2021
121578,1-Nov-2021
121577,1-Nov-2021
121576,1-Nov-2021
121575,1-Nov-2021
121589,2-Nov-2021
121588,2-Nov-2021
121587,2-Nov-2021
121586,2-Nov-2021
121585,2-Nov-2021
121592,3-Nov-2021
121591,3-Nov-2021
121590,3-Nov-2021
121594,6-Nov-2021
121593,6-Nov-2021
121595,7-Nov-2021
121607,8-Nov-2021
121606,8-Nov-2021
121605,8-Nov-2021
121604,8-Nov-2021
121603,8-Nov-2021
121602,8-Nov-2021
121601,8-Nov-2021
121600,8-Nov-2021
121599,8-Nov-2021
121598,8-Nov-2021
121597,8-Nov-2021
121596,8-Nov-2021
121611,10-Nov-2021
121610,10-Nov-2021
121609,10-Nov-2021
121614,11-Nov-2021
121613,11-Nov-2021
121612,11-Nov-2021
121619,12-Nov-2021
121618,12-Nov-2021
121617,12-Nov-2021
121616,12-Nov-2021
121615,12-Nov-2021
121623,13-Nov-2021
121622,13-Nov-2021
121621,13-Nov-2021
121620,13-Nov-2021
121629,15-Nov-2021
121628,15-Nov-2021
121627,15-Nov-2021
121626,15-Nov-2021
121625,15-Nov-2021
121624,15-Nov-2021
121635,16-Nov-2021
121634,16-Nov-2021
121632,16-Nov-2021
121631,16-Nov-2021
121630,16-Nov-2021
121638,17-Nov-2021
121637,17-Nov-2021
121636,17-Nov-2021
121633,17-Nov-2021
121642,18-Nov-2021
121641,18-Nov-2021
121640,18-Nov-2021
121639,18-Nov-2021
121648,19-Nov-2021
121647,19-Nov-2021
121646,19-Nov-2021
121644,19-Nov-2021
121643,19-Nov-2021
121651,20-Nov-2021
121650,20-Nov-2021
121649,20-Nov-2021
121655,21-Nov-2021
121654,21-Nov-2021
121664,22-Nov-2021
121663,22-Nov-2021
121662,22-Nov-2021
121661,22-Nov-2021
121660,22-Nov-2021
121659,22-Nov-2021
121658,22-Nov-2021
121657,22-Nov-2021
121656,22-Nov-2021
121653,22-Nov-2021
121652,22-Nov-2021
121667,23-Nov-2021
121666,23-Nov-2021
121665,23-Nov-2021
121668,25-Nov-2021
121670,26-Nov-2021
121669,26-Nov-2021
121677,29-Nov-2021
121676,29-Nov-2021
121675,29-Nov-2021
121674,29-Nov-2021
121673,29-Nov-2021
121672,29-Nov-2021
121671,29-Nov-2021
121689,30-Nov-2021
121688,30-Nov-2021
121687,30-Nov-2021
121686,30-Nov-2021
121685,30-Nov-2021
121684,30-Nov-2021
121682,30-Nov-2021
121694,2-Dec-2021
121693,2-Dec-2021
121692,2-Dec-2021
121691,2-Dec-2021
121690,2-Dec-2021
121697,4-Dec-2021
121696,4-Dec-2021
121695,4-Dec-2021
121704,5-Dec-2021
121703,5-Dec-2021
121702,5-Dec-2021
121701,5-Dec-2021
121700,5-Dec-2021
121699,5-Dec-2021
121698,5-Dec-2021
121713,6-Dec-2021
121712,6-Dec-2021
121711,6-Dec-2021
121710,6-Dec-2021
121709,6-Dec-2021
121708,6-Dec-2021
121707,6-Dec-2021
121706,6-Dec-2021
121705,6-Dec-2021
121717,7-Dec-2021
121716,7-Dec-2021
121715,7-Dec-2021
121714,7-Dec-2021
121727,8-Dec-2021
121726,8-Dec-2021
121725,8-Dec-2021
121724,8-Dec-2021
121723,8-Dec-2021
121722,8-Dec-2021
121721,8-Dec-2021
121720,8-Dec-2021
121719,8-Dec-2021
121718,8-Dec-2021
121733,9-Dec-2021
121732,9-Dec-2021
121731,9-Dec-2021
121730,9-Dec-2021
121729,9-Dec-2021
121728,9-Dec-2021
121740,10-Dec-2021
121739,10-Dec-2021
121738,10-Dec-2021
121737,10-Dec-2021
121736,10-Dec-2021
121735,10-Dec-2021
121734,10-Dec-2021
121748,11-Dec-2021
121747,11-Dec-2021
121746,11-Dec-2021
121745,11-Dec-2021
121744,11-Dec-2021
121743,11-Dec-2021
121742,11-Dec-2021
121741,11-Dec-2021
121752,14-Dec-2021
121751,14-Dec-2021
121750,14-Dec-2021
